2100 Divisadero Street,Pacific Heights,San Francisco,1259,37.7890177,-122.4406116
1800 Scott Street,Western Addition,San Francisco,1260,37.7865232,-122.4382639
700 Presidio Avenue,Western Addition,San Francisco,1261,37.7852306,-122.4460603
0 Stoneybrook Avenue,Excelsior,San Francisco,1265,37.7302256,-122.4218286
200 Bacon Street,Excelsior,San Francisco,1271,37.7273751,-122.4046303
500 Moscow Street,Excelsior,San Francisco,1272,37.7197001,-122.4288528
200 Naglee Avenue,Outer Mission,San Francisco,1273,37.7132182,-122.4481299
0 McLaren Avenue,Sea Cliff,San Francisco,1275,37.7862661,-122.4892864
1100 Golden Gate Avenue,Western Addition,San Francisco,1276,37.7799934,-122.4285952
300 Hayes Street,Civic Center,San Francisco,1277,37.7772174,-122.4213867
100 Noe Street,The Castro,San Francisco,1278,37.7675364,-122.4336497
1100 Folsom Street,South of Market,San Francisco,1279,37.7767254,-122.4081977
300 Church Street,Mission District,San Francisco,1280,37.7659321,-122.4290069
700 Guerrero Street,Mission Dolores,San Francisco,1281,37.7598199,-122.4237975
1600 Church Street,Noe Valley,San Francisco,1282,37.7452194,-122.4269854
1500 Balboa Street,Richmond District,San Francisco,1291,37.7767489,-122.4748485
1300 Wright Loop,Presidio,San Francisco,1292,37.7970731,-122.4718232
400 Moraga Street,Sunset District,San Francisco,1293,37.7565467,-122.4669046
600 Panorama Drive,Midtown Terrace,San Francisco,1294,37.7539369,-122.4511107
0 Avoca Alley,West of Twin Peaks,San Francisco,1295,37.738183,122.450573
1300 22nd Avenue,Sunset District,San Francisco,1296,37.7578894,-122.3944222
100 Font Boulevard,Lakeshore,San Francisco,1297,37.7152637,-122.472597
200 3rd Avenue,Richmond District,San Francisco,1298,37.7848476,-122.4611097
8700 Mission Rock Street,South of Market,San Francisco,1299,37.7728739,-122.3907146
200 John F Kennedy Drive,Golden Gate Park,San Francisco,1300,37.7710064,-122.4569
500 Peru Avenue,Excelsior,San Francisco,1629,37.726509,-122.4256114
800 Bacon Street,Excelsior,San Francisco,1630,37.7258455,-122.4108716
0 Curtis Street,Crocker-Amazon,San Francisco,1639,37.713004,-122.4394369
100 Murray Street,Bernal Heights,San Francisco,1646,37.7334519,-122.4247361
500 Brunswick Street,Crocker-Amazon,San Francisco,1647,37.7105549,-122.4433932
Historic Trail,Inner Sunset,San Francisco,1648,37.7597154,-122.4560167
1300 10th Avenue,Inner Sunset,San Francisco,1649,37.7639878,-122.4674093
1900 16th Avenue,Inner Sunset,San Francisco,1650,37.7525052,-122.4731538
200 Hyde Street,Tenderloin,San Francisco,1674,37.7827984,-122.4156095
200 Funston Road,Marina District,San Francisco,1677,37.8069801,-122.4284838
700 Haight Street,Lower Haight,San Francisco,1682,37.77189,-122.4339618
0 The Embarcadero,North Beach,San Francisco,1686,37.7994506,-122.3984456
1400 Powell Street,Russian Hill,San Francisco,1687,37.797585,-122.4101635
1100 Taylor Street,Nob Hill,San Francisco,1688,37.792563,-122.4126737
200 Sutter Street,Financial District,San Francisco,1689,37.7899158,-122.4040898
