CNN,SP
22821000,22833000
22821000,22819000
22821000,33007000
22821000,22832000
22821000,33013000
24216000,24229000
24216000,24238000
24216000,24228000
24216000,33030000
24216000,28084000
50258000,25247000
50258000,50251000
50907000,28191000
50907000,21287000
22381000,22369000
22381000,22361000
22381000,22383000
22381000,22384000
26791000,26797000
26791000,30763000
26791000,26795000
54239000,51225000
54239000,51271000
54239000,51224000
54239000,51229000
20546000,33172000
20546000,20552000
20546000,20295000
20546000,20555000
20546000,20554000
20491000,20493000
20491000,20485000
20491000,20494000
20491000,20492000
51545000,51252000
51545000,51482000
51545000,51545000
51545000,51985000
22807000,33008000
22807000,32989000
25068000,50211000
25068000,25068000
25068000,25004000
25068000,24949000
21468000,21466000
21468000,21494000
21468000,21508000
21468000,21506000
21725000,21723000
21725000,21739000
21725000,21744000
21725000,21724000
27329000,27331000
27329000,27319000
27329000,27330000
27329000,27326000
25494000,25495000
25494000,25493000
25494000,25497000
25494000,25438000
26777000,26758000
26777000,26786000
26777000,26778000
26777000,26780000
23659000,33047000
23659000,23658000
23659000,23662000
23659000,23638000
34112000,34113000
34112000,34114000
34112000,34110000
20704000,33108000
20704000,20696000
20704000,20700000
20704000,20703000
22809000,22825000
22809000,22826000
22809000,22827000
22809000,22846000
21911000,22006000
21911000,22003000
21911000,21912000
21911000,22005000
24085000,24087000
24085000,24073000
24085000,24089000
24085000,24086000
26346000,26348000
26346000,26343000
26346000,26416000
26346000,26345000
26919000,26920000
26919000,26911000
26919000,26935000
26919000,26913000
24511000,24510000
24511000,24519000
24511000,24511000
24511000,50036000
51533000,51534000
51533000,51535000
51533000,54202000
51533000,54196000
26772000,26771000
26772000,26763000
26772000,26774000
26772000,26773000
51566000,51517000
51566000,51518000
51566000,22339000
25946000,25960000
25946000,25958000
25946000,25967000
25946000,25941000
25048000,25049000
25048000,25014000
25048000,25047000
25048000,25042000
33129000,33128000
33129000,33123000
33129000,20066000
21456000,51024000
21456000,21456000
21456000,51013000
21456000,21457000
27198000,26475000
27198000,27199000
27198000,27200000
27198000,27198000
33205000,20291000
33205000,33206000
33205000,20285000
33205000,20284000
26973000,26965000
26973000,26974000
26973000,26972000
26973000,26966000
33555000,26385000
33555000,26388000
33555000,26365000
33555000,33555000
23528000,23534000
23528000,23535000
23528000,23544000
23528000,23529000
20988000,20990000
20988000,20987000
20988000,20982000
20988000,21653000
50180000,25041000
50180000,50180000
27287000,27285000
27287000,27593000
27287000,27290000
27287000,27286000
21693000,21695000
21693000,21689000
21693000,21665000
21693000,21694000
23954000,23957000
23954000,23953000
23954000,23950000
23954000,23965000
33347000,21379000
33347000,33723000
33347000,21370000
33347000,33346000
22119000,22122000
22119000,22119000
22119000,50621000
22119000,22143000
34016000,30739000
34016000,24892000
34016000,50350000
34016000,24894000
33118000,20182000
33118000,20204000
33118000,50861000
33118000,54050000
53052000,53049000
53052000,53047000
23178000,23180000
23178000,23155000
23178000,22992000
23178000,23179000
26641000,26640000
26641000,26818000
26641000,26642000
26641000,26820000
26832000,26831000
26832000,26833000
26832000,26839000
26832000,26815000
25934000,25928000
25934000,25938000
25934000,25935000
25934000,25937000
32998000,32997000
32998000,22872000
32998000,22851000
33489000,33491000
33489000,33492000
21444000,21442000
21444000,21475000
21444000,21476000
21444000,21474000
27067000,27062000
27067000,27069000
27067000,27079000
27067000,27068000
21136000,21135000
21136000,21137000
21136000,21125000
21136000,21134000
21272000,50906000
21272000,50904000
21272000,21282000
21272000,21280000
21272000,21278000
27493000,27495000
27493000,27463000
27493000,27492000
27493000,27496000
51964000,51961000
51964000,51952000
51964000,51965000
51964000,51963000
50168000,24767000
50168000,50168000
54330000,54159000
54330000,54158000
54330000,51631000
54330000,51874000
23391000,23388000
23391000,23397000
23391000,23287000
23391000,23392000
21887000,21879000
21887000,21907000
21887000,21886000
23823000,23824000
23823000,23819000
23823000,23855000
23823000,23821000
21988000,21987000
21988000,21986000
21988000,33419000
21988000,21993000
23462000,23460000
23462000,23478000
23462000,23463000
23462000,23459000
34004000,34005000
34004000,34003000
34004000,34007000
34004000,34004000
24249000,24238000
24249000,24350000
24249000,50695000
24249000,24249000
54203000,54197000
54203000,51534000
54203000,54202000
54203000,54204000
51509000,26105000
50611000,22623000
50611000,22625000
22414000,22416000
22414000,22415000
22414000,22417000
25581000,50368000
25581000,26702000
25581000,25567000
26820000,26638000
26820000,26821000
26820000,26819000
26820000,26641000
25024000,25033000
25024000,25021000
25024000,50177000
25024000,25024000
32867000,27736000
32867000,27745000
32867000,27737000
32867000,32868000
26936000,26926000
26936000,26936000
26936000,26937000
26936000,26935000
25652000,25653000
25652000,50709000
25652000,25650000
27362000,27360000
27362000,27373000
27362000,27361000
27771000,27766000
27771000,27773000
27771000,27762000
27771000,27775000
25527000,25468000
25527000,25531000
25527000,25529000
25527000,25528000
23692000,23694000
23692000,23691000
23692000,35025000
23692000,23690000
23746000,23843000
23746000,23844000
23746000,23747000
30049000,24568000
30049000,24674000
30049000,24574000
30049000,30727000
24118000,24120000
24118000,25662000
24118000,24119000
24118000,24115000
21769000,21723000
21769000,21742000
21769000,21771000
54191000,25835000
54191000,25701000
54191000,54190000
51497000,51401000
51497000,51497000
51497000,51397000
51497000,51490000
26379000,26381000
26379000,26448000
26379000,26382000
26379000,26377000
25910000,35009000
25910000,25911000
24544000,24601000
24544000,24604000
24544000,24602000
24544000,24563000
27984000,27987000
27984000,27972000
27984000,27983000
27984000,27989000
21757000,21758000
21757000,21755000
21757000,33020000
21757000,22067000
52102000,27628000
52102000,52102000
52102000,54237000
52102000,52266000
26805000,26623000
26805000,26621000
26805000,34153000
26805000,26804000
33162000,20520000
33162000,28196000
33162000,34002000
33162000,33162000
33162000,34003000
33162000,20535000
26007000,26014000
26007000,26004000
26007000,26010000
26007000,26011000
33537000,33640000
33537000,22938000
33537000,23076000
27231000,27246000
27231000,27226000
27231000,27245000
27231000,27230000
50144000,25323000
50144000,50144000
25396000,50118000
25396000,25396000
25396000,25451000
25396000,25452000
50654000,33592000
50654000,33591000
50654000,50654000
50246000,25079000
50246000,50246000
24557000,24504000
24557000,30728000
24557000,24555000
24557000,24554000
27657000,27559000
27657000,27659000
27657000,27656000
27657000,28017000
25822000,25807000
25822000,25814000
25822000,26167000
25822000,25822000
22053000,22052000
22053000,54034000
22053000,22058000
22053000,22048000
23987000,23989000
23987000,23985000
23987000,23980000
23987000,23988000
22152000,22148000
22152000,33604000
22152000,22225000
22152000,22154000
22152000,22153000
22152000,22122000
22152000,22158000
50796000,20193000
50796000,50796000
27694000,27695000
27694000,27693000
27694000,27697000
27694000,23421000
25898000,25899000
25898000,25869000
25898000,25896000
25898000,54055000
24413000,24412000
24413000,24414000
24413000,24312000
24413000,24363000
26674000,26671000
26674000,26856000
26674000,26677000
26674000,26675000
22195000,22203000
22195000,22200000
22195000,22196000
22195000,22206000
33031000,24190000
33031000,23881000
33031000,24230000
33031000,24204000
27100000,27098000
27100000,27108000
27100000,27107000
27100000,27125000
50938000,51879000
51928000,51927000
51928000,51926000
51928000,51929000
51928000,52437000
51030000,21499000
51030000,51030000
25265000,50187000
25265000,25267000
25265000,25264000
26341000,26342000
26341000,26332000
26341000,26337000
26341000,26336000
25443000,25440000
25443000,30710000
25443000,25443000
25443000,25442000
27526000,27549000
27526000,27525000
27526000,27528000
27526000,27522000
22337000,22320000
22337000,22333000
25691000,25702000
25691000,25684000
25691000,25722000
25691000,25689000
20562000,20563000
20562000,20571000
20562000,20573000
20562000,20561000
23856000,23875000
23856000,23854000
23856000,23873000
24456000,24453000
24456000,25905000
24456000,24444000
24456000,25909000
54167000,54166000
54167000,54167000
22021000,22024000
22021000,22017000
22021000,51036000
22021000,51038000
50575000,27029000
25886000,25889000
25886000,25988000
25886000,25887000
25886000,25897000
24282000,24285000
24282000,23946000
24282000,24288000
24282000,24283000
24527000,24533000
24527000,50069000
24527000,24506000
24527000,24532000
22294000,33015000
22294000,22354000
22294000,33017000
22294000,22293000
21396000,33723000
21396000,21405000
21396000,21399000
21396000,21397000
26543000,26538000
26543000,26545000
26543000,26542000
20612000,20542000
20612000,20613000
20612000,20619000
26646000,30082000
26646000,26648000
26646000,26647000
26646000,26651000
33513000,33717000
