CNN,ST_NAMES,LAT,LONG
20148000,"['YOSEMITE AVE', 'INGALLS ST']",37.72472911,-122.3879305
20149000,"['JENNINGS ST', 'UNDERWOOD AVE']",37.7276664,-122.3881099
20150000,"['THOMAS AVE', 'JENNINGS ST']",37.72829373,-122.3875507
20151000,"['JENNINGS ST', 'VAN DYKE AVE']",37.72704415,-122.3886728
20152000,"['WALLACE AVE', 'JENNINGS ST']",37.72641515,-122.3892378
20153000,"['QUESADA AVE', 'JENNINGS ST']",37.73016676,-122.3858527
20154000,"['REVERE AVE', 'JENNINGS ST']",37.72954271,-122.3864185
20155000,"['SHAFTER AVE', 'JENNINGS ST']",37.72891866,-122.3869842
20156000,"['KEITH ST', 'OAKDALE AVE']",37.73246639,-122.3866187
20157000,"['KEITH ST', 'PALOU AVE']",37.73185747,-122.3871665
20158000,"['SHAFTER AVE', 'KEITH ST']",37.72998042,-122.3888551
20159000,"['REVERE AVE', 'KEITH ST']",37.7306061,-122.3882923
20160000,"['THOMAS AVE', 'KEITH ST']",37.72935389,-122.3894187
20161000,"['KEITH ST', 'QUESADA AVE']",37.73123179,-122.3877294
20162000,"['HAWES ST', 'INNES AVE']",37.73306988,-122.3776486
20163000,"['GRIFFITH ST', 'INNES AVE']",37.7319966,-122.3757582
20164000,"['HUDSON AVE', 'HAWES ST', 'HUNTERS POINT BLVD']",37.73361634,-122.3769739
20168000,"['HARE ST', 'MIDDLE POINT RD']",37.73447938,-122.3794209
20170000,"['MIDDLE POINT RD', 'WEST POINT RD']",37.73524467,-122.3794146
20172000,"['WILLS ST', 'MIDDLE POINT RD', 'CATALINA ST']",37.73627246,-122.3794145
20175000,"['INGALLS ST', 'MIDDLE POINT RD', 'INNES AVE']",37.73408162,-122.3794307
20177000,"['JENNINGS ST', 'EVANS AVE', 'MIDDLE POINT RD']",37.73768029,-122.3791096
20178000,"['JENNINGS ST', 'NEWHALL ST']",37.73922051,-122.3777224
20180000,"['ACACIA AVE', 'MIDDLE POINT RD']",37.73675961,-122.3794099
20181000,"['EVANS AVE', 'KEITH ST']",37.73876358,-122.3809426
20182000,"['KEITH ST', 'FAIRFAX AVE']",37.73812292,-122.3815577
20185000,"['HAWKINS LN', 'HUDSON AVE', 'ARDATH CT']",37.7346032,-122.382962
20188000,"['HUDSON AVE', 'WHITNEY YOUNG CIR']",37.73363179,-122.3822793
20189000,"['HUDSON AVE', 'WESTBROOK CT']",37.7349769,-122.383134
20191000,"['HUDSON AVE', 'CASHMERE ST']",37.73580325,-122.3834254
20193000,"['REUEL CT', 'HUDSON AVE']",37.73660453,-122.3836379
20196000,"['NEWCOMB AVE', 'LA SALLE AVE']",37.73307082,-122.3850015
20197000,"['KEITH ST', 'NEWCOMB AVE']",37.73310348,-122.3860455
20198000,"['LA SALLE AVE', 'CASHMERE ST']",37.73566161,-122.3871756
20200000,"['CASHMERE ST', 'WHITNEY YOUNG CIR', 'DEDMAN CT']",37.73660113,-122.385713
20201000,"['HUDSON AVE', 'KEITH ST']",37.73751422,-122.3840465
20203000,"['MENDELL ST', 'EVANS AVE']",37.74089752,-122.3847055
20204000,"['FAIRFAX AVE', 'MENDELL ST']",37.74024002,-122.3852817
